Radius,Coil_diameter,Pitch_angle,Pitch_length,Stress
9.353125647,9.1062376,28.21803618,31.53463716,12.12963085
9.357456832,8.366989555,17.97317601,19.07310799,6.554927936
9.363465852,12.10197492,44.87467359,58.57557733,17.7094441
9.368815761,14.8241955,48.20879363,65.85838392,11.54954221
9.370311924,11.76470917,49.23580433,68.29404802,15.65787514
9.371253762,12.32258051,47.15383418,63.48336381,23.30764858
9.373974195,11.59532947,37.30056,44.86947962,13.95472369
9.375072799,6.584877419,60.31187919,103.3217883,15.06840261
9.377025289,6.860092129,16.38124409,17.31943354,4.968796905
9.378052049,8.519917239,23.47525623,25.59064895,8.745404954
9.383260286,15.15762368,48.36238745,66.31686342,12.96102049
9.383907691,6.108255319,60.71377797,105.1261914,5.857179846
9.385616688,9.501475306,45.08102627,59.13859744,15.90874101
9.389475799,13.55803326,47.57905462,64.56124928,11.19390721
9.402880123,12.47922141,16.75730225,17.78928529,6.050314773
9.403961932,14.73181679,40.08103055,49.72231076,15.4880435
9.411250285,8.086919647,42.58588726,54.34836529,12.94104053
9.413562511,8.221415503,49.46365398,69.16353307,16.35850095
9.414786478,17.32597262,53.3483729,79.50230948,11.16123205
9.415069141,12.36972858,15.58756626,16.50298874,5.967078702
9.419665028,7.85025494,13.63112918,14.35252196,5.580892696
9.425317894,9.925961374,41.70763038,52.77815232,7.464913564
9.427484327,8.291200004,66.97834072,139.4015062,26.14148553
9.428462979,8.679519949,35.0611411,41.5751224,11.7740562
9.428563374,7.457719904,17.45230108,18.62453771,7.18104624
9.432191155,8.567203913,35.52843196,42.31713377,9.7517452
9.433119359,7.364708244,42.94689427,55.16758552,7.155032683
9.43779234,13.12321673,48.82891486,67.80617092,9.393490645
9.437842167,10.71232421,34.86819702,41.31913666,11.05743209
9.437922346,6.545296927,33.59610288,39.393155,11.80313417
9.441321091,6.153953735,49.84155818,70.30096588,17.89104905
9.441896637,9.232739455,37.95998169,46.28322323,10.43054363
9.449039128,12.27513042,40.53735918,50.77381221,15.26461435
9.449465488,6.475335773,47.38213642,64.52698323,14.21276367
9.450531289,7.433455189,38.43642964,47.12506648,13.60209533
9.452774361,6.779129417,15.77649597,16.7803633,7.014655736
9.454349387,5.708672559,28.60160909,32.38996521,11.25044725
9.455460012,5.516867628,34.47259916,40.78982275,6.585278388
9.457370229,11.71351007,22.0545668,24.07406735,6.65751104
9.464986771,9.747817064,31.21444026,36.03696199,13.38487869
9.466734102,7.567071688,39.42625159,48.90410317,13.04105722
9.469399983,9.924030522,42.78364645,55.06421148,14.2895664
9.472242738,7.176601174,13.58766055,14.38483394,6.806728052
9.480972969,9.51228873,19.84125873,21.49524491,10.23896867
9.481926343,10.99324218,40.90512154,51.61627874,16.15348589
9.48232723,6.345900589,23.87806375,26.37459059,10.65269754
9.485272122,12.12536772,15.66961944,16.71807138,5.695381294
9.491288069,8.298394284,21.77121639,23.81776214,8.613811348
9.492041598,9.552678183,44.21396804,58.02591103,14.54542838
9.49553985,12.06932793,41.27954822,52.37683415,12.20218269
9.499510894,7.392712355,45.10048269,59.89690855,16.61223593
9.501497871,7.175125929,13.45152102,14.27920956,6.591526335
9.505409375,8.93340975,25.96608825,29.08571692,12.47108317
9.50599562,7.976875763,35.23075469,42.18145342,12.44224
9.506550884,9.089418963,32.49657758,38.04809607,8.65713906
9.510057426,10.93667249,47.12387382,64.35612878,14.13765634
9.51134236,8.327051053,21.80510154,23.90907784,8.160594744
9.513517562,7.777323153,31.40070095,36.48793787,13.14012554
9.514964258,7.466112323,38.0547035,46.80059124,13.64807553
9.516594551,13.98569751,44.99686997,59.78799435,14.20123101
9.523385899,7.22293972,27.56254063,31.23233541,12.19563853
9.528011333,5.98458378,22.3522411,24.61673314,10.84517284
9.528337871,11.9733445,56.48029211,90.38359038,15.28481411
9.5303978,11.14007969,21.07838907,23.08030815,4.883588371
9.530923284,7.536621792,18.87941456,20.47903194,6.940417158
