Radius,Coil_diameter,Pitch_angle,Pitch_length,index1,index2,index3,index4,type,shift
5.39357383956216,5.25033449020852,30.4179197179333,19.8967048221964,2,1,2,2,1,3
3.5387661917462,6.6399729223801,48.8443385786022,25.4382132919132,3,1,1,3,1,5
8.27127847933213,8.10467843057154,24.693895479787,23.8968098291275,4,2,1,3,2,3
5.14226340937196,5.07113638630968,58.1199927331748,51.9482506447665,1,2,3,4,2,1
7.97133318795415,5.63864427862462,45.039083982238,50.1537410971293,1,3,3,3,1,1
13.9855768445949,7.06724969834436,15.7779342159667,24.8292794416497,2,3,3,4,1,1
18.5543831729396,8.40734300937809,22.4258086284143,48.1125131132821,2,3,5,5,1,1
3.44217624561484,4.90483544437942,53.6708765504063,29.4113792602479,1,2,3,2,1,3
16.1732298668301,7.34961049104944,22.4710667963426,42.0320262407504,2,2,4,5,1,1
18.9810511012871,8.25039458702378,16.8530688119849,36.1277240340127,2,4,4,5,1,1
5.32535471989305,8.4222178338269,50.9422942857677,41.2349093309027,3,2,1,5,1,4
21.9814010869534,9.0699277795019,7.67546323642234,18.6134151327913,2,5,4,5,2,1
19.269876975252,8.24447779725104,8.51680467453079,18.1312665421928,2,3,4,5,2,1
13.096545821305,6.13160540972995,11.5705242323276,16.8471934606913,1,3,4,2,2,1
14.2229803327675,8.36499083939324,15.2755304128102,24.4066500847234,3,1,3,5,2,1
2.56748149631198,3.33006189326814,52.731166552353,21.2001401367653,1,2,2,2,2,4
15.0897537979346,12.949196955332,18.8651919344829,32.3969689504395,5,3,4,5,2,4
12.9728623662766,7.81339288053757,10.4971322784115,15.1029322077255,3,3,1,4,2,1
11.9704043409851,5.44042745511221,29.7660411476735,43.015293496588,1,3,3,3,2,1
13.0967244813163,8.27327732322511,19.432803436792,29.0315492319066,3,4,1,4,2,1
2.62900237347869,4.19850934452923,54.6687913025598,23.3030024700161,2,1,1,4,1,4
5.43962257513895,6.68784443354126,44.7643944219687,33.8982186715244,2,2,3,3,2,3
7.37225236925925,5.14999996655395,28.3227820722534,24.9651747417266,2,1,2,3,2,2
6.86184017610404,6.58525497103983,26.622978472825,21.6116210383526,2,2,3,2,1,2
3.08972289315058,4.73161825626291,44.5346539938623,19.1004925063397,2,1,1,2,1,4
4.42024794638027,6.80350859764401,41.5516921038308,24.6163900882268,2,2,3,2,2,5
10.7401311930742,5.80547702808285,46.2514588707645,70.496455129226,1,2,4,4,2,1
3.07861354544354,5.02656184097546,31.7326721125101,11.9620319268488,2,1,1,1,1,5
6.61295627648208,7.39639402726702,48.4610566025877,46.8999451135473,2,2,4,4,2,3
4.30855360172527,7.67325783650056,50.818986923594,33.2153327155379,3,1,2,4,1,5
6.55383405210197,6.6801957998375,45.8819491782943,42.4666046618074,2,2,3,4,2,2
2.48562310343561,3.38223832997107,43.3424512521364,14.7391727783159,1,2,1,1,1,4
20.8663867550339,7.99498379412554,9.0320905217868,20.8406482251456,2,2,5,5,1,1
3.62764747333175,1.14279752320241,3.14638805139511,1.252943428393,1,2,1,5,1,9
18.0600723162242,7.2515882769637,11.9251772183137,23.964969885047,2,1,4,5,2,1
19.2155867992975,9.17766294037219,12.0341598937918,25.7382804824906,3,5,1,5,2,1
13.9952796097348,8.4100689079995,10.4060285106432,16.1486448290004,3,1,4,4,1,1
2.77573950793875,4.09520569555199,41.7974820266028,15.592214791351,1,2,2,1,2,5
2.65717374513243,3.16727049022558,49.6978712928275,19.6851929091886,1,2,2,2,1,4
12.0239380470102,6.14998914666111,18.5009989107768,25.279682887738,1,3,4,2,1,1
4.29781231741027,6.9328350834973,44.6340488519296,26.6611845090065,3,1,1,3,1,4
2.15646063123905,2.61087950043809,62.233736663806,25.7355222873952,2,1,2,2,1,5
12.4477880885199,7.23554415095399,12.8035706188807,17.7744014703649,2,2,4,3,1,1
16.3753304123757,9.41059087141816,15.4164006539508,28.3721056914659,3,4,2,5,2,1
9.52801133261978,5.98458378026825,22.3522411014647,24.6167331356864,2,1,3,3,1,1
16.9992170639534,8.60418469725389,14.2672877227902,27.160397569657,2,3,5,4,2,1
5.06281850579151,6.85684699651969,38.3350515065602,25.1541329233681,2,2,3,2,2,4
10.2415194671678,5.32355153197347,18.6530997677592,21.722365620328,1,3,3,2,2,1
16.8468886641022,7.06937677113852,27.0253122904962,53.9932682322427,1,3,5,3,2,1
11.8541724992602,6.53639886053672,21.43728077164,29.245082633345,2,4,1,3,1,2
2.33849409415209,3.20123537294186,43.1397037286738,13.7687559530863,1,2,1,1,1,5
3.1403609593241,5.7145813017925,59.0009369756517,32.8398968706357,2,2,1,5,1,4
3.70194087964251,5.31465191031461,57.3712194025695,36.3303983335789,2,1,1,5,2,2
3.5756137878092,1.00263226445805,3.37177387462771,1.32363434877162,1,1,2,4,1,9
3.884746322982,5.88177648614208,59.5865905521735,41.5811194354453,1,3,3,3,2,3
3.54303647619293,1.37770994314228,1.32235460983686,0.513875500884044,1,4,1,5,1,7
18.114923591933,9.97246846797624,10.2392769536088,20.559906896118,3,5,3,5,2,1
17.2997385934068,12.9417759759218,11.2317703482642,21.5853196878006,5,2,5,5,1,2
1.82756685608302,1.6062094969618,6.5334751134479,1.31511235589134,1,1,1,2,2,4
19.7155761830137,8.46973087590821,17.5385202632364,39.1497295953833,2,5,3,5,2,1
12.5924059355629,8.03340790818207,11.3752178645522,15.9178649065939,3,1,3,4,2,1
14.0914467255685,9.74350522555196,18.4670602486735,29.5682026354103,3,2,5,4,2,1
14.205031468768,8.38099447552968,10.637078181392,16.7630048410257,2,3,5,3,2,1
14.1448430130456,7.1771560716883,21.0104279013109,34.1343494092048,2,4,2,4,2,1
11.8706940580721,8.12378782605828,15.7438903889478,21.026777177002,3,2,2,4,2,1
