Radius (A°),Coil diameter (A°),Pitch angle (deg),Pitch length (A°),Number of turns,Total length (A°),Yield stress (GPa),Failure strain,Toughness (GPa)
4.585351704,7.085026136,30.77533303,17.1577662,2.464953504,42.29309591,4.078676246,0.355798415,0.80622949
4.768748283,6.572159284,55.01905858,42.82180683,1.685459062,72.17440238,18.36646848,0.097543661,0.854009336
10.72393484,8.296286131,7.915072214,9.36787987,2.029140352,19.00874305,3.546538727,0.072152217,0.857516178
8.014984257,6.63225601,28.61111775,27.46964033,1.149561723,31.57804708,5.055134713,0.527245591,0.86279082
4.883400698,5.490592342,57.57199832,48.29697326,1.449326786,69.99809701,9.252967203,0.087830034,0.870135905
7.055756484,6.543376663,51.69737848,56.12955995,0.610889167,34.28894013,8.049640537,0.050654691,0.909492456
9.794582984,8.178667119,26.73802244,31.00317646,0.732277019,22.70291363,5.157476959,0.378948821,0.947185778
5.455340489,5.588529088,35.89727763,24.80986661,1.495700295,37.10812481,5.690043191,0.434923269,0.950940718
7.731829976,5.941705672,17.66067785,15.46729317,1.232788602,19.06790272,5.413933017,0.5711178,0.95172707
6.474085835,9.278232032,31.90279335,25.32250257,2.474631846,62.66387127,7.695482649,0.256584668,0.960904596
13.22577019,9.564784145,20.35262905,30.82641623,1.548923375,47.74775665,3.669595892,0.656148131,0.96437686
14.97124322,9.62524845,10.56307508,17.54144015,1.280093681,22.4546867,2.853247634,1.22017415,1.047147534
9.557815991,8.174202958,25.63517571,28.81817565,0.890121545,25.65167904,2.337369311,0.371830683,1.133489672
11.36269976,8.447792842,26.91986643,36.25134883,0.873498933,31.66551451,3.530743377,1.139486718,1.164079835
18.41162199,5.357665527,35.40254327,82.21980725,1.731773985,142.3861232,12.84606539,0.170466023,1.218296892
4.480602316,8.142485322,47.18285185,30.38363953,1.487737811,45.20288937,12.79054978,0.156010013,1.237990565
6.81031125,9.336982653,19.01886619,14.74969491,2.358989236,34.79437153,3.730933415,0.750222718,1.273520522
4.550999299,8.296073781,61.98138089,53.73680972,1.392793832,74.84429712,18.92760414,0.086794889,1.291193663
5.553623833,8.609378068,51.67590687,44.14585551,2.550991746,112.615713,16.01774065,0.101349121,1.302404979
3.388303866,4.468692509,47.53998433,23.26581459,2.063485242,48.00866505,10.90398016,0.079810492,1.305248033
8.804537666,7.280745206,22.58451781,23.01018233,0.926725903,21.324132,3.928023153,0.537160658,1.326110947
4.53563842,7.461804586,45.49178711,28.99172279,2.440849926,70.7644444,20.97975076,0.118201877,1.333835715
4.992118171,8.778750094,53.01257117,41.6436306,2.55790006,106.5202452,15.13569762,0.176302415,1.369694447
6.762032598,8.950346746,38.93983533,34.33157059,1.189774734,40.84683527,10.26136378,0.196245992,1.370612757
5.652193471,8.483603871,50.1488342,42.54764352,2.446583402,104.0963584,11.5579521,0.164354939,1.375205156
